task,model,fold,r2,rmse,mae
cookieTheft,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
cookieTheft,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
cookieTheft,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
cookieTheft,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
cookieTheft,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
cookieTheft,demographics,0,-0.0013135635362220288,5.673813874108072,4.6017014082767345
cookieTheft,demographics,1,0.054470765194331694,5.365906401376328,4.218073541917413
cookieTheft,demographics,2,0.08143549473213596,4.994174894789602,4.042182686264335
cookieTheft,demographics,3,0.059603910918721636,5.764675864257789,4.37673666043403
cookieTheft,demographics,4,0.09399096280403418,5.42631564018299,4.234731298897397
cookieTheft,linguistic,0,0.09589769855570296,5.391366090777913,4.183884012719885
cookieTheft,linguistic,1,0.1318445343459549,5.1416719487122755,4.104217814009369
cookieTheft,linguistic,2,0.09146201982330848,4.966843326950152,4.0286677105701605
cookieTheft,linguistic,3,0.14786962707805262,5.487474414775066,4.247345796179052
cookieTheft,linguistic,4,0.1269440237636139,5.326719554628193,4.117111294898532
cookieTheft,acoustic,0,0.081926599127635,5.43286280278825,4.300595459796612
cookieTheft,acoustic,1,0.012977512641941247,5.48238001797784,4.425688500726615
cookieTheft,acoustic,2,0.06627614000543502,5.035216465353715,4.217868234795417
cookieTheft,acoustic,3,0.039429228354807,5.826183642471134,4.46530495043934
cookieTheft,acoustic,4,0.07759368958069757,5.4751991477018,4.265914024146812
cookieTheft,linguistic+acoustic,0,0.11136425016607787,5.345051892016164,4.150796659485163
cookieTheft,linguistic+acoustic,1,0.1819566184734892,4.991071367327894,4.023849107775884
cookieTheft,linguistic+acoustic,2,0.11610648980098559,4.899016362278447,4.025232850785493
cookieTheft,linguistic+acoustic,3,0.14064506286843903,5.510687374748515,4.181308143701957
cookieTheft,linguistic+acoustic,4,0.14052023574824157,5.285141455283765,4.0612157388025345
cookieTheft,full,0,0.11511772191100267,5.333751574980777,4.152614992929157
cookieTheft,full,1,0.1789762705718866,5.000154996345135,4.040457683705083
cookieTheft,full,2,0.12612588468195285,4.871170770892651,4.040732334319034
cookieTheft,full,3,0.15500254192460772,5.464459190648777,4.169820812462421
cookieTheft,full,4,0.16087850521710279,5.222172465488253,4.032661670203097
picnicScene,baseline,0,-0.011042616851386411,5.70131145345257,4.603238406685743
picnicScene,baseline,1,-0.0003302812703849245,5.519215099319455,4.395397117266741
picnicScene,baseline,2,-0.004827385910429749,5.223416406851768,4.260142950352927
picnicScene,baseline,3,-0.019162604774254133,6.001243184207051,4.654882426195884
picnicScene,baseline,4,-4.819073525785811e-06,5.7008528870521,4.53312934590015
picnicScene,demographics,0,-0.0013135635362220288,5.673813874108072,4.6017014082767345
picnicScene,demographics,1,0.054470765194331694,5.365906401376328,4.218073541917413
picnicScene,demographics,2,0.08143549473213596,4.994174894789602,4.042182686264335
picnicScene,demographics,3,0.059603910918721636,5.764675864257789,4.37673666043403
picnicScene,demographics,4,0.09399096280403418,5.42631564018299,4.234731298897397
picnicScene,linguistic,0,0.16477311038671816,5.18193867737433,4.042005568685571
picnicScene,linguistic,1,0.1475025667415375,5.095093431169435,4.03420523108759
picnicScene,linguistic,2,0.09184119916129618,4.965806759988399,4.070875699989267
picnicScene,linguistic,3,0.13321831500358683,5.534448477341781,4.296648991275737
picnicScene,linguistic,4,0.16132086319885763,5.22079580298137,4.157619663281996
